,a
2531,"C. Nyman (30, IFK Norrköping, Allsvenskan 2023)"
2532,"D. Hayashi (25, Sint-Truiden, Belgian Pro League 22-23)"
2533,"S. Gallagher (27, Blackburn Rovers, Championship 22-23)"
2534,"J. Stanković (22, Tabor Sežana, 1. SNL 22-23)"
2535,"K. Kasongo (28, Sakaryaspor, Turkish 1. Lig 22-23)"
2536,"M. Macuphu (34, Royal AM, South Africa PSL 22-23)"
2537,"A. Ciocâlteu (33, Slatina, Romanian Liga II 22-23)"
2538,"Derik Lacerda (23, Ponferradina, La Liga 2 22-23)"
2539,"V. Osuagwu (19, FS Jelgava, Virsliga 2023)"
2540,"V. Lizunovs (19, BFC Daugavpils, Virsliga 2023)"
2541,"M. Shevlin (24, Coleraine, Northern Ireland Premiership 22-23)"
2542,"Álex Poves (31, Penya Encarnada, Andorra Primera Divisió 22-23)"
2543,"B. Sambou (24, Wydad Casablanca, Botola Pro 22-23)"
2544,"Jefferson Duque (36, Atlético Nacional, Colombian Primera Division 22-23)"
2545,"Juan Delgado (29, La Nucía, Primera División RFEF 22-23)"
2546,"N. Buso (23, Lecco, Serie C 22-23)"
2547,"M. Balotelli (32, Sion, Swiss Super League 22-23)"
2548,"R. Maniero (35, Turris, Serie C 22-23)"
2549,"A. Abed (33, Maccabi Bnei Raina, Ligat Ha'al 22-23)"
2550,"J. Clarke-Harris (28, Peterborough United, League One 22-23)"
2551,"R. Oates (28, Mansfield Town, League Two 22-23)"
2552,"H. Lorentzen (25, Helmond Sport, Eerste Divisie 22-23)"
2553,"Y. Kakitani (33, Tokushima Vortis, J2 2023)"
2554,"B. Lovrencsics (31, Soroksár SC, NB II 22-23)"
2555,"S. Braken (29, VVV Venlo, Eerste Divisie 22-23)"
2556,"S. Teranuma (22, Mito Hollyhock, J2 2023)"
2557,"K. Duah (26, Nürnberg, 2. Bundesliga 22-23)"
2558,"Y. En-Nesyri (26, Sevilla, La Liga 22-23)"
2559,"Patric (35, Kyoto Sanga, J1 2023)"
2560,"D. Jurić (25, Rijeka, 1. HNL 22-23)"
2561,"T. Parrott (21, Preston North End, Championship 22-23)"
2562,"T. Orebonye (27, Khouribga, Botola Pro 22-23)"
2563,"E. Nevitt (27, Crewe Alexandra, League Two 22-23)"
2564,"I. Pikis (22, Akritas, Cyprus 1. Division 22-23)"
2565,"C. Lungoyi (22, Ascoli, Serie B 22-23)"
2566,"G. Ugwu (30, Jeddah, Saudi First Division 22-23)"
2567,"Yasin Hamed (23, Békéscsaba, NB II 22-23)"
2568,"D. Popa (27, Chindia Târgovişte, SuperLiga României 22-23)"
2569,"L. Kulenović (23, Sloga Doboj, Bosnian Premier League 22-23)"
2570,"P. Engblom (31, GIF Sundsvall, Superettan 2023)"
2571,"Rubén Enri (25, Cornellà, Primera División RFEF 22-23)"
2572,"R. Ripart (30, Troyes, Ligue 1 22-23)"
2573,"R. Pandre (28, Kenkre, I-League 22-23)"
2574,"J. Reid (28, Stevenage, League Two 22-23)"
2575,"R. Martínez (27, Platense, Argentinian Primera División 2023)"
2576,"A. Gevorkyan (30, Shirak, Armenian Premier League 22-23)"
2577,"S. Longo (22, Turris, Serie C 22-23)"
2578,"D. Hughes (30, Newry City AFC, Northern Ireland Premiership 22-23)"
2579,"Pablo García (25, Ceuta, Primera División RFEF 22-23)"
2580,"S. Smith (25, Cambridge United, League One 22-23)"
2581,"P. Gorgiev (28, Sileks, North Macedonia First League 22-23)"
2582,"A. Rolfini (26, Vicenza, Serie C 22-23)"
2583,"R. Becerra (35, Deportivo Cuenca, Ecuador Liga Pro 2023)"
2584,"G. Pantsulaia (29, Kaspyi, Kazakh Premier League 2023)"
2585,"J. Pohjanpalo (28, Venezia, Serie B 22-23)"
2586,"P. Owusu (26, Jahn Regensburg, 2. Bundesliga 22-23)"
2587,"I. Sokolov (21, Shinnik, Russian FNL 2 22-23)"
2588,"J. Arp (23, Holstein Kiel, 2. Bundesliga 22-23)"
2589,"E. Koljič (27, Universitatea Craiova, SuperLiga României 22-23)"
2590,"F. Melchiorri (36, Ancona, Serie C 22-23)"
2591,"B. Miovski (23, Aberdeen, Scottish Premiership 22-23)"
2592,"E. Ómarsson (28, NAC Breda, Eerste Divisie 22-23)"
2593,"L. Hinterseer (32, Hansa Rostock, 2. Bundesliga 22-23)"
2594,"C. Bunino (26, Lecco, Serie C 22-23)"
2595,"G. Manousos (35, Lamia, Greek Super League 22-23)"
2596,"D. Dike (22, West Bromwich Albion, Championship 22-23)"
2597,"Do-Hyung Kim (32, Jeonju, K4 League 2023)"
2598,"Ekain Zenitagoia (29, Ibiza, La Liga 2 22-23)"
2599,"B. Sadik (36, Doxa, Cyprus 1. Division 22-23)"
2600,"M. Brunori (28, Palermo, Serie B 22-23)"
2601,"J. Davison (23, AFC Wimbledon, League Two 22-23)"
2602,"Alex Forés (22, Villarreal B, La Liga 2 22-23)"
2603,"P. Schick (27, Bayer Leverkusen, Bundesliga 22-23)"
2604,"A. Sbaffo (32, Recanatese, Serie C 22-23)"
2605,"Gleyson Oliveira (26, Gyeongnam, K League 2 2023)"
2606,"D. Teodorović (21, Voždovac, Serbian SuperLiga 22-23)"
2607,"Júlio Tavares (34, Al Raed, Saudi Professional League 22-23)"
2608,"P. Daka (24, Leicester City, Premier League 22-23)"
2609,"F. Brodić (26, Varaždin, 1. HNL 22-23)"
2610,"Mendi (29, Gokulam Kerala, I-League 22-23)"
2611,"D. Yusov (30, Chornomorets, Ukrainian Premier Liha 22-23)"
2612,"А. Buksa (20, Standard Liège II, Belgian First Division B 22-23)"
2613,"S. Bahoken (31, Kasımpaşa, Süper Lig 22-23)"
2614,"D. Baumann (28, Zwickau, 3. Liga 22-23)"
2615,"W. Amoah (23, Kapfenberger SV, Austrian 2. Liga 22-23)"
2616,"Álex López (29, Cornellà, Primera División RFEF 22-23)"
2617,"T. Fonseca (35, Marsaxlokk, Malta Premier League 22-23)"
2618,"G. Lloyd (23, Grimsby Town, League Two 22-23)"
2619,"M. Olivieri (23, Perugia, Serie B 22-23)"
2620,"D. Traore (24, TS Galaxy FC, South Africa PSL 22-23)"
2621,"K. Czubak (23, Arka Gdynia, Polish I Liga 22-23)"
2622,"Sascha (36, Inter Club d'Escaldes, Andorra Primera Divisió 22-23)"
2623,"M. O’Connor (24, Dungannon Swifts, Northern Ireland Premiership 22-23)"
2624,"Chuma (26, Mérida AD, Primera División RFEF 22-23)"
2625,"T. Verheydt (31, ADO Den Haag, Eerste Divisie 22-23)"
2626,"Flávio Silva (27, Persik Kediri, BRI Liga 1 22-23)"
2627,"W. Grigg (31, Milton Keynes Dons, League One 22-23)"
2628,"T. Pellegrini (27, Vorwärts Steyr, Austrian 2. Liga 22-23)"
2629,"J. Stockley (29, Fleetwood Town, League One 22-23)"
2630,"A. Nemec (37, Voluntari, SuperLiga României 22-23)"
2631,"L. Mafouta (28, Quevilly Rouen, Ligue 2 22-23)"
2632,"F. Fedato (30, Vis Pesaro, Serie C 22-23)"
2633,"Matheus Aias (26, Racing Santander, La Liga 2 22-23)"
2634,"S. Sáez (38, Everton, Chilean Primera División 2023)"
2635,"A. Ceesay (29, Lecce, Serie A 22-23)"
2636,"R. Stewart (26, Sunderland, Championship 22-23)"
2637,"Carlos Bravo (30, Real Unión, Primera División RFEF 22-23)"
2638,"M. Fitzpatrick (28, Glenavon, Northern Ireland Premiership 22-23)"
2639,"O. Goudiaby (28, Pelister, North Macedonia First League 22-23)"
2640,"X. Skuka (24, Partizani Tirana, Albanian Premier League 22-23)"
2641,"L. Appéré (24, Northampton Town, League Two 22-23)"
2642,"M. Brajanac (22, Hobro, Danish 1. Division 22-23)"
2643,"Matheus Souza (29, Balzan, Malta Premier League 22-23)"
2644,"J. Pross (21, Austria Wien II, Austrian 2. Liga 22-23)"
2645,"A. Dzyuba (34, Lokomotiv Moskva, Russian Premier League 22-23)"
2646,"R. Tudor (20, Unirea Constanța, Romanian Liga II 22-23)"
2647,"A. Compagno (27, FCS Bucureşti, SuperLiga României 22-23)"
2648,"M. Badamosi (24, Čukarički, Serbian SuperLiga 22-23)"
2649,"P. Šafranko (28, Sepsi, SuperLiga României 22-23)"
2650,"M. Krstovski (25, Akademija Pandev, North Macedonia First League 22-23)"
2651,"O. Yilmaz (25, Horn, Austrian 2. Liga 22-23)"
2652,"Enric Gallego (36, Tenerife, La Liga 2 22-23)"
2653,"M. Ilievski (21, Várda SE, NB I 22-23)"
2654,"D. Wilson (26, Sutton United, League Two 22-23)"
2655,"Higinio Marín (29, Albacete, La Liga 2 22-23)"
2656,"L. Dykes (27, Queens Park Rangers, Championship 22-23)"
2657,"S. Nachmani (20, Hapoel Hadera, Ligat Ha'al 22-23)"
2658,"E. Yeboah (20, CFR Cluj, SuperLiga României 22-23)"
2659,"T. Knowles (24, Walsall, League Two 22-23)"
2660,"I. Niane (24, Metz, Ligue 2 22-23)"
2661,"S. Babić (23, Petrovac, Montenegro First League 22-23)"
2662,"D. Ward (32, Huddersfield Town, Championship 22-23)"
2663,"M. Ramić (30, Igman Konjic, Bosnian Premier League 22-23)"
2664,"T. Hemed (36, Hapoel Be'er Sheva, Ligat Ha'al 22-23)"
2665,"P. Giakoumakis (30, Olympiakos, Cyprus 1. Division 22-23)"
2666,"L. Candellone (25, Pordenone, Serie C 22-23)"
2667,"F. Gouré (21, Újpest, NB I 22-23)"
2668,"Jon Karrikaburu (20, Leganés, La Liga 2 22-23)"
2669,"M. Antonio (33, West Ham United, Premier League 22-23)"
2670,"O. Ighalo (33, Al Hilal, Saudi Professional League 22-23)"
2671,"Ali Al Hamadi (21, AFC Wimbledon, League Two 22-23)"
2672,"D. Beljo (21, Augsburg, Bundesliga 22-23)"
2673,"D. Tumbas (23, Rudar, Montenegro First League 22-23)"
2674,"H. Osman (21, Rizespor, Turkish 1. Lig 22-23)"
2675,"J. Franco Aldana (21, Mixco, Guatemala Liga Nacional 22-23)"
2676,"T. Henry (28, Hellas Verona, Serie A 22-23)"
2677,"E. Harrison (29, Port Vale, League One 22-23)"
2678,"M. Macauley (31, PDRM, Malaysian Super League 2023)"
2679,"A. Puzirevskis (20, FK Metta, Virsliga 2023)"
2680,"A. Hernández (32, Atlético de San Luis, Liga MX 22-23)"
2681,"R. Dadashov (24, Grasshopper, Swiss Super League 22-23)"
2682,"D. Dibirgadzhiev (26, Veles, Russian FNL 2 22-23)"
2683,"A. Idah (22, Norwich City, Championship 22-23)"
2684,"K. Doherty (21, Clyde, Scottish League One 22-23)"
2685,"S. Kashket (27, Gillingham, League Two 22-23)"
2686,"R. Martignago (31, Alessandria, Serie C 22-23)"
2687,"H. Komori (22, JEF United, J2 2023)"
2688,"O. Ožegović (28, Volos NFC, Greek Super League 22-23)"
2689,"A. Deljkin (32, Volgar Astrakhan, Russian FNL 2 22-23)"
2690,"Mario Losada (26, Unionistas de Salamanca, Primera División RFEF 22-23)"
2691,"F. Bertoglio (32, Asteras Tripolis, Greek Super League 22-23)"
2692,"N. Nanni (23, Olbia, Serie C 22-23)"
2693,"T. Deeney (34, Birmingham City, Championship 22-23)"
2694,"S. Odey (25, Randers, Superliga 22-23)"
2695,"O. McBurnie (26, Sheffield United, Championship 22-23)"
2696,"S. Feiertag (21, Amstetten, Austrian 2. Liga 22-23)"
2697,"J. Tiehi (21, Hamilton Academical, Scottish Championship 22-23)"
2698,"C. Tommasini (25, Taranto, Serie C 22-23)"
2699,"K. Bowie (20, Northampton Town, League Two 22-23)"
2700,"G. Courtet (34, Guingamp, Ligue 2 22-23)"
2701,"J. Kenny (20, Shamrock Rovers, League of Ireland PL 2023)"
2702,"O. Rousias (30, Enosis, Cyprus 1. Division 22-23)"
2703,"D. Duffy (39, Stranraer, Scottish League Two 22-23)"
2704,"E. Godspower (24, Chippa United, South Africa PSL 22-23)"
2705,"G. Parigi (26, Arzignano Valchiampo, Serie C 22-23)"
2706,"Busi (25, Mérida AD, Primera División RFEF 22-23)"
2707,"Edgar Méndez (33, Necaxa, Liga MX 22-23)"
2708,"L. Almási (24, Baník Ostrava, Czech Fortuna Liga 22-23)"
2709,"K. Tanimura (25, Iwaki, J2 2023)"
2710,"Woo Je-Wook (29, Busan Transportation, K3 League 2023)"
2711,"R. Faust (27, Petrovac, Montenegro First League 22-23)"
2712,"D. Parkhouse (23, Cliftonville, Northern Ireland Premiership 22-23)"
2713,"S. Folarin (22, Harrogate Town, League Two 22-23)"
2714,"A. Ignea (34, ASU Poli, Romanian Liga II 22-23)"
2715,"G. Kyeremateng (24, Thun, Swiss Challenge League 22-23)"
2716,"M. Osmajić (23, Vizela, Primeira Liga 22-23)"
2717,"M. El Idrissy (24, Ajaccio, Ligue 1 22-23)"
2718,"Héctor Hernández (27, Chaves, Primeira Liga 22-23)"
2719,"J. Szalai (20, Dorogi FC, NB II 22-23)"
2720,"J. Brown (25, Stoke City, Championship 22-23)"
2721,"L. Stanzani (23, Pro Patria, Serie C 22-23)"
2722,"Igor Thiago (21, Ludogorets, Bulgarian First League 22-23)"
2723,"L. Hartwig (20, St. Pölten, Austrian 2. Liga 22-23)"
2724,"J. Gullan (23, Raith Rovers, Scottish Championship 22-23)"
2725,"O. Ojetunde (20, Lernayin Artsakh, Armenian Premier League 22-23)"
2726,"A. Ujah (32, Eintracht Braunschweig, 2. Bundesliga 22-23)"
2727,"Tiago Tomás (20, Stuttgart, Bundesliga 22-23)"
2728,"L. Fülöp (25, Universitatea Cluj, SuperLiga României 22-23)"
2729,"R. Borré (27, Eintracht Frankfurt, Bundesliga 22-23)"
2730,"P. Schmidt (24, Admira, Austrian 2. Liga 22-23)"
2731,"C. McNeill (19, Newport County, League Two 22-23)"
2732,"R. Sukuta-Pasu (32, Vejle, Danish 1. Division 22-23)"
2733,"G. Pálinkás (26, Kazincbarcika, NB II 22-23)"
2734,"G. Boban (33, Posušje, Bosnian Premier League 22-23)"
2735,"Carlos Fortes (28, PSIS Semarang, BRI Liga 1 22-23)"
2736,"B. Böke (23, Denizlispor, Turkish 1. Lig 22-23)"
2737,"L. Nițu (21, Slatina, Romanian Liga II 22-23)"
2738,"G. Agalarov (22, Akhmat Grozny, Russian Premier League 22-23)"
2739,"I. Timoshenko (24, Rodina Moskva, Russian FNL 2 22-23)"
2740,"Max Svensson (21, Deportivo La Coruña, Primera División RFEF 22-23)"
2741,"N. Al-Sumairi (29, Al Qadisiyah, Saudi First Division 22-23)"
2742,"J. Iredale (23, Wehen Wiesbaden, 3. Liga 22-23)"
2743,"M. Pucciarelli (31, Vis Pesaro, Serie C 22-23)"
2744,"Rubén del Campo (23, San Fernando, Primera División RFEF 22-23)"
2745,"Omar Al Somah (34, Al Arabi, Qatari Stars League 22-23)"
2746,"Evandro (26, Radnički Kragujevac, Serbian SuperLiga 22-23)"
2747,"M. Mudražija (27, Tanjong Pagar, Singapore Premier League 2023)"
2748,"M. Männilaan (21, Kuressaare, Estonian Meistriliiga 2023)"
2749,"L. Duvnjak (23, Lafnitz, Austrian 2. Liga 22-23)"
2750,"S. Cosgrove (26, Plymouth Argyle, League One 22-23)"
2751,"M. Ravasio (24, Lucchese, Serie C 22-23)"
2752,"U. Bonnet (29, Valenciennes, Ligue 2 22-23)"
2753,"A. Belotti (29, Roma, Serie A 22-23)"
2754,"S. Bakış (29, FC Andorra, La Liga 2 22-23)"
2755,"H. Djaouchi (28, Al Qaisoma, Saudi First Division 22-23)"
2756,"M. Pourié (32, Meppen, 3. Liga 22-23)"
2757,"Y. Mbuthuma (21, Richards Bay, South Africa PSL 22-23)"
2758,"P. Lewis (28, Tranmere Rovers, League Two 22-23)"
2759,"İ. Karakaş (24, Gençlerbirliği, Turkish 1. Lig 22-23)"
2760,"M. Makarić (27, Radnik Surdulica, Serbian SuperLiga 22-23)"
2761,"B. Johnson (22, Nottingham Forest, Premier League 22-23)"
2762,"F. Jensen (25, Augsburg, Bundesliga 22-23)"
2763,"M. Grumić (38, Szentlőrinc SE, NB II 22-23)"
2764,"P. Borukov (23, Arda, Bulgarian First League 22-23)"
2765,"B. Mervó (28, Szentlőrinc SE, NB II 22-23)"
2766,"Jon Etxaniz (32, Intercity SJ D' Alacant, Primera División RFEF 22-23)"
2767,"Rúben Fonseca (23, Tondela, Portugal Segunda Liga 22-23)"
2768,"T. Dallinga (22, Toulouse, Ligue 1 22-23)"
2769,"K. Doumtsios (25, Levadiakos, Greek Super League 22-23)"
2770,"J. Marquis (30, Bristol Rovers, League One 22-23)"
2771,"A. Chirițoiu (19, Oţelul, Romanian Liga II 22-23)"
2772,"A. Amutu (30, Al Ittihad, Egyptian Premier League 22-23)"
2773,"K. Appaev (33, Fakel, Russian Premier League 22-23)"
2774,"Edgar Bruno (36, Daegu, K League 1 2023)"
2775,"M. Yatabaré (37, Sivasspor, Süper Lig 22-23)"
2776,"Z. Horváth (33, Duna Aszfalt Tiszakécskei, NB II 22-23)"
2777,"G. Fella (29, Monopoli, Serie C 22-23)"
2778,"K. Špeljak (20, Šibenik, 1. HNL 22-23)"
2779,"C. Braga (23, Moss, OBOS Ligaen 2023)"
2780,"O. Vyshnevskyi (27, Minaj, Ukrainian Premier Liha 22-23)"
2781,"B. Tošković (20, Jezero, Montenegro First League 22-23)"
2782,"F. Taulemesse (37, Nea Salamis, Cyprus 1. Division 22-23)"
2783,"D. Ebbe (28, Crusaders, Northern Ireland Premiership 22-23)"
2784,"I. Spasojević (35, Bali United, BRI Liga 1 22-23)"
2785,"J. Garner (35, Carlisle United, League Two 22-23)"
2786,"U. Djuranović (29, Kolubara, Serbian SuperLiga 22-23)"
2787,"Á. Borvető (24, Szombathelyi Haladás, NB II 22-23)"
2788,"Claudio Medina (29, Cultural Leonesa, Primera División RFEF 22-23)"
2789,"V. Sejk (21, Jablonec, Czech Fortuna Liga 22-23)"
2790,"T. Gabuza (35, SuperSport United, South Africa PSL 22-23)"
2791,"T. Orr (26, Stranraer, Scottish League Two 22-23)"
2792,"K. Moore (30, Bournemouth, Premier League 22-23)"
2793,"M. McKenzie (22, Ayr United, Scottish Championship 22-23)"
2794,"J. Gormley (33, Cliftonville, Northern Ireland Premiership 22-23)"
2795,"I. Ademi (28, Erzeni Shijak, Albanian Premier League 22-23)"
2796,"R. Curran (29, Cliftonville, Northern Ireland Premiership 22-23)"
2797,"D. Huiban (33, Metaloglobus, Romanian Liga II 22-23)"
2798,"Á. Rodríguez (18, Real Madrid Castilla, Primera División RFEF 22-23)"
2799,"A. Shchetkin (32, Kuban Krasnodar, Russian FNL 2 22-23)"
2800,"W. Aponza (23, Sporting Covilhã, Portugal Segunda Liga 22-23)"
2801,"M. El Badoui (23, Maghreb Fès, Botola Pro 22-23)"
2802,"M. Škoda (35, České Budějovice, Czech Fortuna Liga 22-23)"
2803,"M. Turishchev (21, Torpedo Moskva, Russian Premier League 22-23)"
2804,"N. Bannis (21, Eindhoven, Eerste Divisie 22-23)"
2805,"N. Nych (24, Lviv, Ukrainian Premier Liha 22-23)"
2806,"Alfredo Ortuño (32, Cartagena, La Liga 2 22-23)"
2807,"Kainã (25, Vllaznia Shkodër, Albanian Premier League 22-23)"
2808,"S. Hirsh (30, Hapoel Afula, Liga Leumit 22-23)"
2809,"L. Sorrentino (27, Giugliano, Serie C 22-23)"
2810,"C. Ogbene (26, Rotherham United, Championship 22-23)"
2811,"M. Valpoort (22, Santa Lucia, Malta Premier League 22-23)"
2812,"J. Serra (25, Arminia Bielefeld, 2. Bundesliga 22-23)"
2813,"T. Chunchukov (28, CSA Steaua Bucureşti, Romanian Liga II 22-23)"
2814,"A. Nolan (20, UCD, League of Ireland PL 2023)"
2815,"E. Bicfalvi (35, Ural, Russian Premier League 22-23)"
2816,"S. Aliev (24, SKA-Khabarovsk, Russian FNL 2 22-23)"
2817,"I. Vetokele (31, Westerlo, Belgian Pro League 22-23)"
2818,"G. Artistico (20, Renate, Serie C 22-23)"
2819,"L. Díaz (30, Lanús, Argentinian Primera División 2023)"
2820,"Jon Ander (33, Real Unión, Primera División RFEF 22-23)"
2821,"V. Plut (34, Gudja United, Malta Premier League 22-23)"
2822,"Guillermo Fernández (30, Gimnàstic Tarragona, Primera División RFEF 22-23)"
2823,"Mahalli (34, Negeri Sembilan, Malaysian Super League 2023)"
2824,"I. Khafi (27, Al Sailiya, Qatari Stars League 22-23)"
2825,"S. Quigley (30, Rochdale, League Two 22-23)"
2826,"M. Căruntu (25, Sfîntul Gheorghe, Moldovan Super Liga 22-23)"
2827,"A. Kotik (21, Neftekhimik, Russian FNL 2 22-23)"
2828,"Borja Garcés (23, Tenerife, La Liga 2 22-23)"
2829,"A. Hot (27, Pelister, North Macedonia First League 22-23)"
2830,"A. Winter (21, Hamilton Academical, Scottish Championship 22-23)"
2831,"J. McAtee (23, Grimsby Town, League Two 22-23)"
2832,"A. Nepi (23, Renate, Serie C 22-23)"
2833,"K. Kawamura (23, Tokyo Verdy, J2 2023)"
2834,"K. van Veen (31, Motherwell, Scottish Premiership 22-23)"
2835,"S. Diédhiou (31, UTS Rabat, Botola Pro 22-23)"
2836,"I. Ganago (24, Nantes, Ligue 1 22-23)"
2837,"A. Tveter (32, Sandefjord, Eliteserien 2023)"
2838,"G. Engvall (27, Värnamo, Allsvenskan 2023)"
2839,"Kukula (30, Sporting Covilhã, Portugal Segunda Liga 22-23)"
2840,"S. Kostov (31, Lokomotiv Sofia 1929, Bulgarian First League 22-23)"
2841,"C. Strandberg (27, Al Sailiya, Qatari Stars League 22-23)"
2842,"K. Isa (31, Oita Trinita, J2 2023)"
2843,"M. Estigarribia (28, Atlético Tucumán, Argentinian Primera División 2023)"
2844,"A. Rebić (29, Milan, Serie A 22-23)"
2845,"W. Ali (24, Vendsyssel, Danish 1. Division 22-23)"
2846,"A. Crnac (19, Slaven Belupo, 1. HNL 22-23)"
2847,"F. Stojiljković (23, Sion, Swiss Super League 22-23)"
2848,"D. Charles (27, Bolton Wanderers, League One 22-23)"
2849,"R. López (29, Al Batin, Saudi Professional League 22-23)"
2850,"J. Matt (33, Walsall, League Two 22-23)"
2851,"Francis Ferrón (33, CD Badajoz, Primera División RFEF 22-23)"
2852,"A. Keena (24, Cheltenham Town, League One 22-23)"
2853,"P. Bamford (29, Leeds United, Premier League 22-23)"
2854,"R. Pollero (26, Bellinzona, Swiss Challenge League 22-23)"
2855,"D. Paulevici (28, Dumbrăviţa, Romanian Liga II 22-23)"
2856,"A. Magrassi (30, Cittadella, Serie B 22-23)"
2857,"J. Martínez (28, Rayo Majadahonda, Primera División RFEF 22-23)"
2858,"N. Lukić (30, Honvéd, NB I 22-23)"
2859,"A. Vellios (31, PEC Zwolle, Eerste Divisie 22-23)"
2860,"Y. Niakaté (30, Al Ettifaq, Saudi Professional League 22-23)"
2861,"A. May (29, Cheltenham Town, League One 22-23)"
2862,"I. Logua (31, Veles, Russian FNL 2 22-23)"
2863,"Jorge Barbosa (23, Cheongju FC, K League 2 2023)"
2864,"A. Drinan (25, Leyton Orient, League Two 22-23)"
2865,"A. Satariano (21, Balzan, Malta Premier League 22-23)"
2866,"R. Matsuda (31, Ehime, J3 2023)"
2867,"J. Monge (20, Pérez Zeledón, Costa Rica Primera División 22-23)"
2868,"M. Stępiński (28, Aris, Cyprus 1. Division 22-23)"
2869,"V. Drchal (23, Bohemians 1905, Czech Fortuna Liga 22-23)"
2870,"K. Agard (33, Doncaster Rovers, League Two 22-23)"
2871,"B. Hanlan (25, Wycombe Wanderers, League One 22-23)"
2872,"H. Igamane (20, FAR Rabat, Botola Pro 22-23)"
2873,"T. Watt (29, St. Mirren, Scottish Premiership 22-23)"
2874,"B. Róchez (28, Portimonense, Primeira Liga 22-23)"
2875,"M. Aitken (25, Albion Rovers, Scottish League Two 22-23)"
2876,"M. Niang (21, Cornellà, Primera División RFEF 22-23)"
2877,"D. Birligea (23, CFR Cluj, SuperLiga României 22-23)"
2878,"V. Olatunji (23, Slovan Liberec, Czech Fortuna Liga 22-23)"
2879,"O. Sivrikaya (21, Vorwärts Steyr, Austrian 2. Liga 22-23)"
2880,"Ș. Blănaru (33, Mioveni, SuperLiga României 22-23)"
2881,"J. Robertson (21, Edinburgh City, Scottish League One 22-23)"
2882,"R. Uldriķis (25, Cambuur, Eredivisie 22-23)"
2883,"R. Keating (27, Cork City, League of Ireland PL 2023)"
2884,"N. Maciulaitis (23, Carrick Rangers, Northern Ireland Premiership 22-23)"
2885,"G. Sarkisyan (23, Veles, Russian FNL 2 22-23)"
2886,"R. Minaev (25, Ufa, Russian FNL 2 22-23)"
2887,"M. Smith (26, Shelbourne, League of Ireland PL 2023)"
2888,"M. Lauk (28, Kuban Krasnodar, Russian FNL 2 22-23)"
2889,"C. Main (30, St. Mirren, Scottish Premiership 22-23)"
2890,"C. Savage (20, Forest Green Rovers, League One 22-23)"
2891,"S. Tedić (23, Barnsley, League One 22-23)"
2892,"A. Hunziker (20, Aarau, Swiss Challenge League 22-23)"
2893,"A. Miranyan (27, Alashkert, Armenian Premier League 22-23)"
2894,"A. da Silva (39, Vilafranquense, Portugal Segunda Liga 22-23)"
2895,"L. Pinzauti (28, Lecco, Serie C 22-23)"
2896,"B. Dieng (23, Lorient, Ligue 1 22-23)"
2897,"T. Maistrello (29, Cittadella, Serie B 22-23)"
2898,"J. Ironside (29, Cambridge United, League One 22-23)"
2899,"I. Shemesh (32, Hapoel Petah Tikva, Liga Leumit 22-23)"
2900,"Jong-Ho Lee (31, Seongnam, K League 2 2023)"
2901,"M. Bojović (36, Mladost Lučani, Serbian SuperLiga 22-23)"
2902,"G. Contini (21, Olbia, Serie C 22-23)"
2903,"J. Hamilton (22, Hartlepool United, League Two 22-23)"
2904,"M. Rogers (20, Blackpool, Championship 22-23)"
2905,"K. Hachimi (27, Maghreb Fès, Botola Pro 22-23)"
2906,"E. Herrera (31, Guastatoya, Guatemala Liga Nacional 22-23)"
2907,"E. Eze (26, İstanbulspor, Süper Lig 22-23)"
2908,"N. Austin (29, Kelty Hearts, Scottish League One 22-23)"
2909,"O. Koroma (20, Olympiakos, Cyprus 1. Division 22-23)"
2910,"J. Matoušek (25, Bohemians 1905, Czech Fortuna Liga 22-23)"
2911,"J. Soladio (25, Song Lam Nghe An, V League 1 2023)"
2912,"I. Gruda (23, Teuta Durrës, Albanian Premier League 22-23)"
2913,"S. Nimely (24, Surkhon, Uzbek Super League 2023)"
2914,"P. Guèye (23, Kortrijk, Belgian Pro League 22-23)"
2915,"Gonçalo Ramos (21, Benfica, Primeira Liga 22-23)"
2916,"O. Édouard (25, Crystal Palace, Premier League 22-23)"
2917,"Roger Martí (32, Cádiz, La Liga 22-23)"
2918,"O. Mihálik (26, Slovácko, Czech Fortuna Liga 22-23)"
2919,"E. Gliozzi (27, Pisa, Serie B 22-23)"
2920,"W. Kanga (25, Hertha BSC, Bundesliga 22-23)"
2921,"G. Niarchos (20, DAC, Slovak Super Liga 22-23)"
2922,"S. Dražić (30, Mezőkövesd-Zsóry, NB I 22-23)"
2923,"M. Veselji (21, Floriana, Malta Premier League 22-23)"
2924,"B. Vasev (30, Spartak Varna, Bulgarian First League 22-23)"
2925,"J. Holtan (24, Kongsvinger, OBOS Ligaen 2023)"
2926,"L. Leal (36, Arsenal, Argentinian Primera División 2023)"
2927,"F. Draper (18, Drogheda United, League of Ireland PL 2023)"
2928,"Hugo Duro (23, Valencia, La Liga 22-23)"
2929,"H. Yener (28, Altınordu, Turkish 1. Lig 22-23)"
2930,"L. Fernández (32, Universidad de Chile, Chilean Primera División 2023)"
2931,"J. Sanguina (24, General Caballero JLM, Paraguay Division Profesional 2023)"
2932,"A. Çiçek (27, Bandırmaspor, Turkish 1. Lig 22-23)"
2933,"Abdelrahman Atef (21, Ghazl El Mehalla, Egyptian Premier League 22-23)"
2934,"A. Ahmedov (28, Slavia Sofia, Bulgarian First League 22-23)"
